City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
221,chapais,49.7834,-74.8492,8.88,84,100,7.08,CA,1667702639
222,taoudenni,22.6783,-3.9836,22.98,14,0,4.59,ML,1667702458
223,bilibino,68.0546,166.4372,-5.29,96,100,2.3,RU,1667702639
224,rauma,61.1272,21.5113,4.02,85,100,5.72,FI,1667702640
225,lakatoro,-16.0999,167.4164,28.53,69,27,2.57,VU,1667702640
226,tulun,54.5611,100.5792,0.68,71,100,1.15,RU,1667702641
227,salinopolis,-0.6136,-47.3561,25.72,83,92,3.21,BR,1667702641
228,paamiut,61.994,-49.6678,-0.47,91,100,9.79,GL,1667702628
229,rincon,32.296,-81.2354,22.7,88,100,1.54,US,1667702642
230,nuuk,64.1835,-51.7216,-2.66,93,75,3.09,GL,1667702643
231,mendi,-6.1761,143.6513,17.64,91,92,1.28,PG,1667702644
232,leticia,-4.2153,-69.9406,24.03,88,0,0.0,CO,1667702644
233,airai,-8.9266,125.4092,25.52,44,99,1.13,TL,1667702645
234,kruisfontein,-34.0033,24.7314,15.49,92,33,1.65,ZA,1667702646
235,camacha,33.0833,-16.3333,17.68,88,75,1.54,PT,1667702646
236,pevek,69.7008,170.3133,-1.3,90,100,10.68,RU,1667702476
237,lorengau,-2.0226,147.2712,28.96,74,26,1.7,PG,1667702647
238,lakes entrance,-37.8811,147.981,18.11,63,65,2.5,AU,1667702648
239,namtsy,62.7161,129.6658,-18.17,94,93,1.68,RU,1667702648
240,luderitz,-26.6481,15.1594,16.56,81,75,3.11,NA,1667702649
241,kavaratti,10.5669,72.642,27.11,78,55,3.63,IN,1667702650
242,mehamn,71.0357,27.8492,4.97,81,100,5.14,NO,1667702449
243,bom jardim,-7.7958,-35.5872,22.17,90,100,1.65,BR,1667702651
244,darnah,32.767,22.6367,18.98,48,6,11.98,LY,1667702651
245,vardo,70.3705,31.1107,4.99,87,100,9.77,NO,1667702619
246,daru,-9.0763,143.2092,28.11,80,100,5.24,PG,1667702652
247,sur,22.5667,59.5289,26.26,55,75,3.07,OM,1667702640
248,dikson,73.5069,80.5464,-8.6,94,96,5.5,RU,1667702451
249,tazovskiy,67.4667,78.7,-8.26,93,100,3.11,RU,1667702654
250,auki,-8.7676,160.7034,28.48,73,79,2.46,SB,1667702655
251,brae,60.3964,-1.353,7.76,82,96,0.48,GB,1667702656
252,kemijarvi,66.7131,27.4306,-0.9,89,100,2.97,FI,1667702656
253,goderich,43.7501,-81.7165,17.18,77,100,11.32,CA,1667702656
254,vostok,46.4856,135.8833,-1.58,32,0,5.21,RU,1667702657
255,dingle,10.9995,122.6711,29.98,71,46,4.54,PH,1667702658
256,challapata,-18.9,-66.7667,8.3,35,0,2.85,BO,1667702658
257,asau,46.4333,26.4,10.71,95,100,1.81,RO,1667702659
258,rio grande,-32.035,-52.0986,16.36,82,0,5.77,BR,1667702660
259,kahului,20.8947,-156.47,29.01,63,40,7.72,US,1667702660
260,mormugao,15.4,73.8,25.59,83,57,1.03,IN,1667702661
261,komsomolskiy,40.4272,71.7189,8.4,87,90,2.06,UZ,1667702434
262,lompoc,34.6391,-120.4579,15.01,89,0,5.66,US,1667702662
263,esil,51.9556,66.4042,-3.58,83,70,4.86,KZ,1667702663
264,santa maria,-29.6842,-53.8069,16.61,72,0,5.14,BR,1667702573
265,sunland park,31.7965,-106.58,17.63,27,0,2.57,US,1667702664
266,vung tau,10.346,107.0843,26.57,78,100,2.67,VN,1667702572
267,nekhayevskiy,50.4106,41.7561,1.76,78,100,2.63,RU,1667702664
268,linhares,-19.3911,-40.0722,19.51,76,43,3.62,BR,1667702665
269,verkhnyaya inta,65.9811,60.3094,-4.05,96,100,6.84,RU,1667702665
270,khorramshahr,30.4397,48.1664,15.98,63,40,0.0,IR,1667702665
271,vila velha,-20.3297,-40.2925,20.97,83,20,3.09,BR,1667702666
272,bayonet point,28.3267,-82.6834,25.55,88,98,4.15,US,1667702666
273,ambon,-3.6954,128.1814,31.08,66,40,2.57,ID,1667702667
274,zima,53.9202,102.0442,-0.76,78,97,1.52,RU,1667702668
275,fomboni,-12.28,43.7425,25.72,77,87,7.23,KM,1667702668
